,,VanA,VanA,VanA,VanA,VanA,VanA,VanA,VanA,VanB,VanB,VanB,VanB,VanB,VanB,VanB,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Aminoglycocide,Chloramphenical,Chloramphenical,Dihydrofolate reductase inhibitor/Sulfonamide,Macrolide,Macrolide,Macrolide,Macrolide,Macrolide,Spectinomycin??,Tetracyclin,Tetracyclin,Tetracyclin
aus0078_AC026VACXX_GATCAG_L007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,0,0,0,0,6,0,0,6,0,0,8,0
aus0080_AC026VACXX_TAGCTT_L007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
aus0081_AC026VACXX_GGCTAC_L007,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,3,0,0,0,0,6,0,6,6,0,0,8,0
aus0084_AC026VACXX_CTTGTA_L007,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,3,0,0,5,0,6,0,6,6,0,0,8,0
aus0087_AC026VACXX_ATCACG_L008,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,0,0,0,0,0,6,0,0,6,0,0,8,0
aus0090_AC026VACXX_CGATGT_L008,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,0,0,0,0,0,6,0,0,6,0,0,8,0
aus0091_AC026VACXX_TTAGGC_L008,NA,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,3,0,0,0,0,6,0,6,6,0,0,0,0
aus0092_AC026VACXX_TGACCA_L008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
aus0094_AC026VACXX_ACAGTG_L008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,5,0,6,0,0,6,0,8,8,0
aus0098_AC026VACXX_GCCAAT_L008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,5,0,6,0,0,6,0,8,8,0
aus0100_AC026VACXX_CAGATC_L008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,6,0,0,6,0,0,8,0
aus0101_AC026VACXX_ACTTGA_L008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
aus0103_AC026VACXX_GATCAG_L008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
AUSMDU00003347_S6_L001,AH0191_PAMO_1_HA_231213_B_AUSMDU00003347,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,8,0
AUSMDU00003348_S7_L001,AH0238_PAKE_1_HA_311213_B_AUSMDU00003348,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,8,0
AUSMDU00003349_S8_L001,AH0250_PADU_1_HA_030114_B_AUSMDU00003349,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,0,0,6,0,0,6,0,0,8,0
AUSMDU00003350_S9_L001,AH0255_RAKE_1_HA_030114_B_AUSMDU00003350,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,0,6,0,6,0,8,8,0
AUSMDU00003351_S10_L001,AH0213_MABE_2_HA_020114_B_AUSMDU00003351,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003352_S11_L001,AH0283_MASA_1_comm_080114_B_AUSMDU00003352,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003353_S12_L001,AH0290_GUWE_1_HA_090114_B_AUSMDU00003353,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,0,0,0,5,0,6,0,6,6,0,0,8,0
AUSMDU00003354_S13_L001,AH0269_TRBE_2_HA_100114_A_AUSMDU00003354,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0
AUSMDU00003355_S5_L001,AH0277_CHEN_1_HA_080114_B_AUSMDU00003355,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003356_S20_L001,AH0293_JOBU_1_comm_100114_B_AUSMDU00003356,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003357_S19_L001,AH0308_HANG_1_comm_140114_B_AUSMDU00003357,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003358_S18_L001,AH0308_HANG_2_HA_200114_B_AUSMDU00003358,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003359_S17_L001,AH0350_RACI_1_HA_210114_B_AUSMDU00003359,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003360_S16_L001,AH0318_ORPO_2_HA_210114_B_AUSMDU00003360,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003361_S15_L001,AH0396_ROJE_1_HA_300114_B_AUSMDU00003361,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003362_S14_L001,AH0415_NASA_1.5_HA_050214_A_AUSMDU00003362,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,8,0
AUSMDU00003363_S4_L001,AH0415_NASA_2_HA_070214_A_AUSMDU00003363,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,8,0
AUSMDU00003364_S3_L001,AH0429_DOBO_1_HA_050214_B_AUSMDU00003364,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003365_S2_L001,AH0414_BEAN_2_HA_070214_B_AUSMDU00003365,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003366_S1_L001,AH0404_ALCH_1_HA_030214_B_AUSMDU00003366,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003367_S1_L001,AH0448_RHPO_1_HA_100214_B_AUSMDU00003367,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003368_S2_L001,AH0469_SHDA_1_comm_120214_B_AUSMDU00003368,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003369_S4_L001,AH0474_MIEL_1_HA_130214_B_AUSMDU00003369,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,3,0,0,0,0,0,5,0,6,0,0,6,0,8,8,0
AUSMDU00003370_S3_L001,AH0434_ADPU_2_HA_110214_B_AUSMDU00003370,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,0,0,0,0,0,6,0,6,6,0,0,8,0
AUSMDU00003371_S6_L001,AH0352_ERHO_5_HA_170214_B_AUSMDU00003371,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003372_S10_L001,AH0496_BEAL_1_comm_180214_B_AUSMDU00003372,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,8,8,0
AUSMDU00003373_S14_L001,AH0509_GAKI_1_comm_200214_B_AUSMDU00003373,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003374_S18_L001,AH0352_ERHO_6_HA_240214_B_AUSMDU00003374,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003375_S22_L001,AH0529_ADPU_X_HA_240214_B_AUSMDU00003375,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,0,0,0,0,0,6,0,6,6,0,0,8,0
AUSMDU00003376_S26_L001,AH0352_ERHO_7_HA_040314_B_AUSMDU00003376,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003377_S30_L001,AH0561_WIHO_1_HA_030314_B_AUSMDU00003377,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,8,0,0
AUSMDU00003378_S34_L001,AH0564_THVI_1.5_HA_070314_B_AUSMDU00003378,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003379_S7_L001,AH0569_KEHI_1_HA_050314_B_AUSMDU00003379,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003380_S11_L001,AH0586_PACA_1_HA_060314_B_AUSMDU00003380,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,0,0,6,0,6,6,0,0,8,0
AUSMDU00003381_S15_L001,AH0352_ERHO_8_HA_110314_B_AUSMDU00003381,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003382_S19_L001,AH0622_DORE_1_HA_170314_B_AUSMDU00003382,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,8,8,0
AUSMDU00003383_S23_L001,AH0640_PECO_1_HA_190314_B_AUSMDU00003383,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003384_S27_L001,AH0697_JOCO_1_comm_280314_B_AUSMDU00003384,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003385_S31_L001,AH0752_ZEFR_1_comm_070414_B_AUSMDU00003385,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,0,0,0,0,0,6,0,0,6,0,0,8,0
AUSMDU00003386_S35_L001,AH0255_RAKE_legwound_HA_050114_B_AUSMDU00003386,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,5,0,6,0,0,6,0,0,8,0
AUSMDU00003387_S8_L001,AH0065_LERO_URI_HA_010814_B_AUSMDU00003387,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,0,3,0,0,3,0,0,0,0,0,6,0,6,6,0,0,8,0
AUSMDU00003388_S12_L001,AH0255_RAKE_sacrumwound_HA_30/1/2014_A_AUSMDU00003388,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,8,0
AUSMDU00003389_S16_L001,AH0474/0390_MIEL_pleuralfluid_HA_020214_B_AUSMDU00003389,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,0,3,0,0,3,0,0,0,5,0,6,0,0,6,0,0,8,0
