Node	Beg	End
aus0091_AC026VACXX_TTAGGC_L008	911348	911369
aus0091_AC026VACXX_TTAGGC_L008	1539597	1539823
aus0091_AC026VACXX_TTAGGC_L008	1594583	1596119
aus0091_AC026VACXX_TTAGGC_L008	1597829	1614537
aus0091_AC026VACXX_TTAGGC_L008	1615373	1615996
aus0091_AC026VACXX_TTAGGC_L008	2620219	2620805
aus0091_AC026VACXX_TTAGGC_L008	2626015	2626052
aus0069_AC026VACXX_GCCAAT_L007	61600	61744
aus0069_AC026VACXX_GCCAAT_L007	78842	81189
aus0069_AC026VACXX_GCCAAT_L007	86770	86839
aus0069_AC026VACXX_GCCAAT_L007	96119	96321
aus0069_AC026VACXX_GCCAAT_L007	97222	97467
aus0069_AC026VACXX_GCCAAT_L007	100331	100472
aus0069_AC026VACXX_GCCAAT_L007	101172	101367
aus0069_AC026VACXX_GCCAAT_L007	107014	107800
aus0069_AC026VACXX_GCCAAT_L007	110627	111105
aus0069_AC026VACXX_GCCAAT_L007	115980	116260
aus0069_AC026VACXX_GCCAAT_L007	118132	120189
aus0069_AC026VACXX_GCCAAT_L007	122509	122686
aus0069_AC026VACXX_GCCAAT_L007	128765	128884
aus0069_AC026VACXX_GCCAAT_L007	129580	129973
aus0069_AC026VACXX_GCCAAT_L007	137620	139694
aus0069_AC026VACXX_GCCAAT_L007	147183	147480
aus0069_AC026VACXX_GCCAAT_L007	151821	152048
aus0069_AC026VACXX_GCCAAT_L007	158497	158631
aus0069_AC026VACXX_GCCAAT_L007	163556	164659
aus0069_AC026VACXX_GCCAAT_L007	165552	168960
aus0069_AC026VACXX_GCCAAT_L007	169597	170151
aus0069_AC026VACXX_GCCAAT_L007	171189	172681
aus0069_AC026VACXX_GCCAAT_L007	178850	179176
aus0069_AC026VACXX_GCCAAT_L007	179951	180378
aus0069_AC026VACXX_GCCAAT_L007	182753	182959
aus0069_AC026VACXX_GCCAAT_L007	184187	184913
aus0069_AC026VACXX_GCCAAT_L007	194552	196419
aus0069_AC026VACXX_GCCAAT_L007	200833	202106
aus0069_AC026VACXX_GCCAAT_L007	215311	216223
aus0069_AC026VACXX_GCCAAT_L007	223630	223863
aus0069_AC026VACXX_GCCAAT_L007	224799	226742
aus0069_AC026VACXX_GCCAAT_L007	230038	230209
aus0069_AC026VACXX_GCCAAT_L007	231304	231751
aus0069_AC026VACXX_GCCAAT_L007	234478	234865
aus0069_AC026VACXX_GCCAAT_L007	237492	238372
aus0069_AC026VACXX_GCCAAT_L007	240187	247202
aus0069_AC026VACXX_GCCAAT_L007	249168	249360
aus0069_AC026VACXX_GCCAAT_L007	422358	423645
aus0069_AC026VACXX_GCCAAT_L007	563179	563302
aus0069_AC026VACXX_GCCAAT_L007	567756	568326
aus0069_AC026VACXX_GCCAAT_L007	791080	791817
aus0069_AC026VACXX_GCCAAT_L007	792921	793023
aus0069_AC026VACXX_GCCAAT_L007	800315	800351
aus0069_AC026VACXX_GCCAAT_L007	814242	815442
aus0069_AC026VACXX_GCCAAT_L007	818625	818643
aus0069_AC026VACXX_GCCAAT_L007	887629	887643
aus0069_AC026VACXX_GCCAAT_L007	1960129	1962406
aus0069_AC026VACXX_GCCAAT_L007	1969381	1974418
aus0069_AC026VACXX_GCCAAT_L007	2012747	2028711
aus0069_AC026VACXX_GCCAAT_L007	2029979	2035192
aus0069_AC026VACXX_GCCAAT_L007	2038401	2045223
aus0069_AC026VACXX_GCCAAT_L007	2045776	2055026
aus0069_AC026VACXX_GCCAAT_L007	2055541	2057535
aus0069_AC026VACXX_GCCAAT_L007	2058088	2064208
aus0069_AC026VACXX_GCCAAT_L007	2065279	2066052
aus0069_AC026VACXX_GCCAAT_L007	2219684	2219704
aus0069_AC026VACXX_GCCAAT_L007	2448195	2448207
aus0069_AC026VACXX_GCCAAT_L007	2456018	2456123
aus0069_AC026VACXX_GCCAAT_L007	2457439	2457871
aus0069_AC026VACXX_GCCAAT_L007	2488511	2488608
aus0069_AC026VACXX_GCCAAT_L007	2828562	2829514
aus0069_AC026VACXX_GCCAAT_L007	2831187	2832054
aus0069_AC026VACXX_GCCAAT_L007	2838553	2838682
aus0069_AC026VACXX_GCCAAT_L007	2841627	2841936
aus0069_AC026VACXX_GCCAAT_L007	2844823	2844918
aus0069_AC026VACXX_GCCAAT_L007	2852631	2852862
aus0069_AC026VACXX_GCCAAT_L007	2853400	2853912
aus0069_AC026VACXX_GCCAAT_L007	2854436	2854867
aus0069_AC026VACXX_GCCAAT_L007	2855475	2862810
aus0069_AC026VACXX_GCCAAT_L007	2864718	2866590
aus0069_AC026VACXX_GCCAAT_L007	2869980	2871593
aus0069_AC026VACXX_GCCAAT_L007	2874394	2875048
aus0069_AC026VACXX_GCCAAT_L007	2879686	2881907
aus0069_AC026VACXX_GCCAAT_L007	2882570	2883228
aus0069_AC026VACXX_GCCAAT_L007	2886735	2886985
aus0069_AC026VACXX_GCCAAT_L007	2891883	2894302
aus0069_AC026VACXX_GCCAAT_L007	2895558	2895624
aus0069_AC026VACXX_GCCAAT_L007	2919299	2921148
aus0101_AC026VACXX_ACTTGA_L008	530547	530557
aus0101_AC026VACXX_ACTTGA_L008	531112	531457
aus0101_AC026VACXX_ACTTGA_L008	533063	533533
aus0101_AC026VACXX_ACTTGA_L008	534178	534241
aus0101_AC026VACXX_ACTTGA_L008	544770	546642
aus0101_AC026VACXX_ACTTGA_L008	549879	550801
aus0101_AC026VACXX_ACTTGA_L008	795365	795602
aus0101_AC026VACXX_ACTTGA_L008	797583	797983
aus0101_AC026VACXX_ACTTGA_L008	1575991	1576334
aus0101_AC026VACXX_ACTTGA_L008	1956354	1956821
aus0101_AC026VACXX_ACTTGA_L008	1958107	1958876
aus0101_AC026VACXX_ACTTGA_L008	1964150	1964747
aus0101_AC026VACXX_ACTTGA_L008	1966378	1967208
aus0101_AC026VACXX_ACTTGA_L008	1968107	1969848
aus0101_AC026VACXX_ACTTGA_L008	1971018	1971166
aus0101_AC026VACXX_ACTTGA_L008	2012880	2016041
aus0101_AC026VACXX_ACTTGA_L008	2018477	2019684
aus0101_AC026VACXX_ACTTGA_L008	2030237	2030690
aus0101_AC026VACXX_ACTTGA_L008	2032369	2032486
aus0101_AC026VACXX_ACTTGA_L008	2045764	2045774
aus0101_AC026VACXX_ACTTGA_L008	2047014	2047351
aus0101_AC026VACXX_ACTTGA_L008	2069464	2069736
aus0101_AC026VACXX_ACTTGA_L008	2081849	2081936
aus0101_AC026VACXX_ACTTGA_L008	2150570	2151085
aus0101_AC026VACXX_ACTTGA_L008	2153008	2153240
aus0101_AC026VACXX_ACTTGA_L008	2153965	2157657
aus0101_AC026VACXX_ACTTGA_L008	2166507	2168144
aus0101_AC026VACXX_ACTTGA_L008	2169917	2177343
aus0101_AC026VACXX_ACTTGA_L008	2244149	2245113
aus0101_AC026VACXX_ACTTGA_L008	2455751	2455874
aus0101_AC026VACXX_ACTTGA_L008	2457342	2457453
aus0101_AC026VACXX_ACTTGA_L008	2478378	2478470
aus0039_AC026VACXX_GCCAAT_L006	398551	398567
aus0039_AC026VACXX_GCCAAT_L006	532291	534561
aus0039_AC026VACXX_GCCAAT_L006	539922	540131
aus0039_AC026VACXX_GCCAAT_L006	540770	542938
aus0039_AC026VACXX_GCCAAT_L006	543475	545453
aus0039_AC026VACXX_GCCAAT_L006	567756	568425
aus0039_AC026VACXX_GCCAAT_L006	572706	572746
aus0039_AC026VACXX_GCCAAT_L006	573928	574260
aus0039_AC026VACXX_GCCAAT_L006	575174	575770
aus0039_AC026VACXX_GCCAAT_L006	781314	781316
aus0039_AC026VACXX_GCCAAT_L006	814203	814319
aus0039_AC026VACXX_GCCAAT_L006	815553	815673
aus0039_AC026VACXX_GCCAAT_L006	887281	887840
aus0039_AC026VACXX_GCCAAT_L006	1642993	1643336
aus0039_AC026VACXX_GCCAAT_L006	1647276	1647394
aus0039_AC026VACXX_GCCAAT_L006	1653983	1654559
aus0039_AC026VACXX_GCCAAT_L006	1656317	1657719
aus0039_AC026VACXX_GCCAAT_L006	1658800	1659590
aus0039_AC026VACXX_GCCAAT_L006	1660246	1661819
aus0039_AC026VACXX_GCCAAT_L006	1662729	1662974
aus0039_AC026VACXX_GCCAAT_L006	1664830	1664866
aus0039_AC026VACXX_GCCAAT_L006	1666240	1667596
aus0039_AC026VACXX_GCCAAT_L006	1668287	1668809
aus0039_AC026VACXX_GCCAAT_L006	1673260	1675152
aus0039_AC026VACXX_GCCAAT_L006	1679735	1681052
aus0039_AC026VACXX_GCCAAT_L006	1681945	1682569
aus0039_AC026VACXX_GCCAAT_L006	1709679	1710030
aus0039_AC026VACXX_GCCAAT_L006	1710725	1711193
aus0039_AC026VACXX_GCCAAT_L006	1712437	1713257
aus0039_AC026VACXX_GCCAAT_L006	1716149	1717270
aus0039_AC026VACXX_GCCAAT_L006	1722380	1722625
aus0039_AC026VACXX_GCCAAT_L006	1891908	1892085
aus0039_AC026VACXX_GCCAAT_L006	1894540	1894938
aus0039_AC026VACXX_GCCAAT_L006	1906417	1906908
aus0039_AC026VACXX_GCCAAT_L006	1907510	1909084
aus0039_AC026VACXX_GCCAAT_L006	1910021	1910504
aus0039_AC026VACXX_GCCAAT_L006	1911556	1911722
aus0039_AC026VACXX_GCCAAT_L006	1912330	1912441
aus0039_AC026VACXX_GCCAAT_L006	1913155	1913608
aus0039_AC026VACXX_GCCAAT_L006	1932657	1933147
aus0039_AC026VACXX_GCCAAT_L006	1973212	1974445
aus0039_AC026VACXX_GCCAAT_L006	1979617	1981222
aus0039_AC026VACXX_GCCAAT_L006	2007038	2007797
aus0039_AC026VACXX_GCCAAT_L006	2009561	2009875
aus0039_AC026VACXX_GCCAAT_L006	2012871	2016990
aus0039_AC026VACXX_GCCAAT_L006	2018578	2019890
aus0039_AC026VACXX_GCCAAT_L006	2020824	2021732
aus0039_AC026VACXX_GCCAAT_L006	2025695	2026436
aus0039_AC026VACXX_GCCAAT_L006	2038248	2039275
aus0039_AC026VACXX_GCCAAT_L006	2041278	2041617
aus0039_AC026VACXX_GCCAAT_L006	2042716	2042950
aus0039_AC026VACXX_GCCAAT_L006	2046645	2047305
aus0039_AC026VACXX_GCCAAT_L006	2080973	2081015
aus0039_AC026VACXX_GCCAAT_L006	2096668	2097525
aus0039_AC026VACXX_GCCAAT_L006	2815926	2815983
aus0039_AC026VACXX_GCCAAT_L006	2831277	2831349
aus0039_AC026VACXX_GCCAAT_L006	2844850	2844918
aus0039_AC026VACXX_GCCAAT_L006	2852631	2852862
aus0039_AC026VACXX_GCCAAT_L006	2853855	2853912
aus0039_AC026VACXX_GCCAAT_L006	2854861	2854870
aus0039_AC026VACXX_GCCAAT_L006	2857848	2857930
aus0039_AC026VACXX_GCCAAT_L006	2858738	2858899
aus0039_AC026VACXX_GCCAAT_L006	2876334	2876450
aus0039_AC026VACXX_GCCAAT_L006	2886954	2887204
aus0039_AC026VACXX_GCCAAT_L006	2888939	2889093
aus0039_AC026VACXX_GCCAAT_L006	2919521	2921151
aus0071_AC026VACXX_ACTTGA_L007	792966	792990
aus0071_AC026VACXX_ACTTGA_L007	887629	887741
aus0071_AC026VACXX_ACTTGA_L007	1483545	1484767
aus0071_AC026VACXX_ACTTGA_L007	1491450	1491856
aus0071_AC026VACXX_ACTTGA_L007	1499708	1499996
aus0071_AC026VACXX_ACTTGA_L007	1910350	1910504
aus0071_AC026VACXX_ACTTGA_L007	1911556	1911722
aus0071_AC026VACXX_ACTTGA_L007	1912330	1912457
aus0071_AC026VACXX_ACTTGA_L007	1913155	1913398
aus0071_AC026VACXX_ACTTGA_L007	2168183	2168187
aus0071_AC026VACXX_ACTTGA_L007	2221712	2223904
aus0071_AC026VACXX_ACTTGA_L007	2224448	2225950
aus0071_AC026VACXX_ACTTGA_L007	2229603	2230453
aus0071_AC026VACXX_ACTTGA_L007	2237176	2237349
aus0071_AC026VACXX_ACTTGA_L007	2238216	2238767
aus0071_AC026VACXX_ACTTGA_L007	2244540	2244703
aus0071_AC026VACXX_ACTTGA_L007	2487971	2487980
AUSMDU00003350_S9_L001	354968	355223
AUSMDU00003350_S9_L001	359560	359925
AUSMDU00003350_S9_L001	368121	368990
AUSMDU00003350_S9_L001	371312	371883
AUSMDU00003350_S9_L001	375365	375791
AUSMDU00003350_S9_L001	376340	378744
AUSMDU00003350_S9_L001	381901	382031
AUSMDU00003350_S9_L001	388471	389087
AUSMDU00003350_S9_L001	402451	403120
AUSMDU00003350_S9_L001	430330	430985
AUSMDU00003350_S9_L001	431843	432102
AUSMDU00003350_S9_L001	438482	438560
AUSMDU00003350_S9_L001	439946	440699
AUSMDU00003350_S9_L001	444638	445268
AUSMDU00003350_S9_L001	452878	453454
AUSMDU00003350_S9_L001	460812	460941
AUSMDU00003350_S9_L001	461802	462870
AUSMDU00003350_S9_L001	464025	464452
AUSMDU00003350_S9_L001	492729	493539
AUSMDU00003350_S9_L001	521994	528168
AUSMDU00003350_S9_L001	542220	542799
AUSMDU00003350_S9_L001	545724	545742
AUSMDU00003350_S9_L001	547195	547302
AUSMDU00003350_S9_L001	588590	589036
AUSMDU00003350_S9_L001	799613	799747
AUSMDU00003350_S9_L001	813730	813808
AUSMDU00003350_S9_L001	964927	965335
AUSMDU00003350_S9_L001	1013992	1014757
AUSMDU00003350_S9_L001	1047057	1047523
AUSMDU00003350_S9_L001	1063918	1064326
AUSMDU00003350_S9_L001	1082503	1082722
AUSMDU00003350_S9_L001	1085932	1086838
AUSMDU00003350_S9_L001	1091364	1091768
AUSMDU00003350_S9_L001	1097207	1097270
AUSMDU00003350_S9_L001	1113150	1113273
AUSMDU00003350_S9_L001	1121286	1121613
AUSMDU00003350_S9_L001	1122388	1122847
AUSMDU00003350_S9_L001	1148646	1149149
AUSMDU00003350_S9_L001	1150341	1150444
AUSMDU00003350_S9_L001	1167265	1168008
AUSMDU00003350_S9_L001	1174414	1174639
AUSMDU00003350_S9_L001	1180077	1180555
AUSMDU00003350_S9_L001	1189680	1190065
AUSMDU00003350_S9_L001	1199830	1200078
AUSMDU00003350_S9_L001	1203412	1203857
AUSMDU00003350_S9_L001	1213617	1213713
AUSMDU00003350_S9_L001	1214526	1214673
AUSMDU00003350_S9_L001	1219393	1219726
AUSMDU00003350_S9_L001	1499708	1499996
AUSMDU00003350_S9_L001	2455753	2455949
aus0063_AC026VACXX_TTAGGC_L007	7149	7434
aus0063_AC026VACXX_TTAGGC_L007	7944	8827
aus0063_AC026VACXX_TTAGGC_L007	163556	163560
aus0063_AC026VACXX_TTAGGC_L007	279030	279518
aus0063_AC026VACXX_TTAGGC_L007	280018	281836
aus0063_AC026VACXX_TTAGGC_L007	293351	294132
aus0063_AC026VACXX_TTAGGC_L007	298704	298915
aus0063_AC026VACXX_TTAGGC_L007	388875	389501
aus0063_AC026VACXX_TTAGGC_L007	392572	393684
aus0063_AC026VACXX_TTAGGC_L007	394436	394833
aus0063_AC026VACXX_TTAGGC_L007	396483	396670
aus0063_AC026VACXX_TTAGGC_L007	398401	398873
aus0063_AC026VACXX_TTAGGC_L007	401972	401982
aus0063_AC026VACXX_TTAGGC_L007	412033	412546
aus0063_AC026VACXX_TTAGGC_L007	462177	463574
aus0063_AC026VACXX_TTAGGC_L007	464159	465489
aus0063_AC026VACXX_TTAGGC_L007	481724	482768
aus0063_AC026VACXX_TTAGGC_L007	483831	484359
aus0063_AC026VACXX_TTAGGC_L007	486517	486847
aus0063_AC026VACXX_TTAGGC_L007	491394	491677
aus0063_AC026VACXX_TTAGGC_L007	494798	495465
aus0063_AC026VACXX_TTAGGC_L007	527208	528361
aus0063_AC026VACXX_TTAGGC_L007	529520	530842
aus0063_AC026VACXX_TTAGGC_L007	533497	534502
aus0063_AC026VACXX_TTAGGC_L007	539922	540234
aus0063_AC026VACXX_TTAGGC_L007	541346	541352
aus0063_AC026VACXX_TTAGGC_L007	546766	547225
aus0063_AC026VACXX_TTAGGC_L007	572767	573169
aus0063_AC026VACXX_TTAGGC_L007	573760	575141
aus0063_AC026VACXX_TTAGGC_L007	723821	723823
aus0063_AC026VACXX_TTAGGC_L007	781314	781316
aus0063_AC026VACXX_TTAGGC_L007	798830	798875
aus0063_AC026VACXX_TTAGGC_L007	801251	801480
aus0063_AC026VACXX_TTAGGC_L007	802267	806873
aus0063_AC026VACXX_TTAGGC_L007	809497	811157
aus0063_AC026VACXX_TTAGGC_L007	812572	812822
aus0063_AC026VACXX_TTAGGC_L007	814100	816031
aus0063_AC026VACXX_TTAGGC_L007	817283	817815
aus0063_AC026VACXX_TTAGGC_L007	818649	818784
aus0063_AC026VACXX_TTAGGC_L007	820608	821196
aus0063_AC026VACXX_TTAGGC_L007	877110	878373
aus0063_AC026VACXX_TTAGGC_L007	880539	881767
aus0063_AC026VACXX_TTAGGC_L007	882567	883135
aus0063_AC026VACXX_TTAGGC_L007	883769	885184
aus0063_AC026VACXX_TTAGGC_L007	886867	887785
aus0063_AC026VACXX_TTAGGC_L007	1013590	1014757
aus0063_AC026VACXX_TTAGGC_L007	1348223	1348881
aus0063_AC026VACXX_TTAGGC_L007	1735524	1735947
aus0063_AC026VACXX_TTAGGC_L007	1737263	1738409
aus0063_AC026VACXX_TTAGGC_L007	1741513	1743811
aus0063_AC026VACXX_TTAGGC_L007	1744343	1746651
aus0063_AC026VACXX_TTAGGC_L007	1748271	1752759
aus0063_AC026VACXX_TTAGGC_L007	1755697	1755700
aus0063_AC026VACXX_TTAGGC_L007	1758414	1759260
aus0063_AC026VACXX_TTAGGC_L007	1765197	1765791
aus0063_AC026VACXX_TTAGGC_L007	1767350	1768330
aus0063_AC026VACXX_TTAGGC_L007	1770981	1771091
aus0063_AC026VACXX_TTAGGC_L007	1910380	1910444
aus0063_AC026VACXX_TTAGGC_L007	2037819	2038102
aus0063_AC026VACXX_TTAGGC_L007	2045774	2047918
aus0063_AC026VACXX_TTAGGC_L007	2049060	2049199
aus0063_AC026VACXX_TTAGGC_L007	2100354	2102005
aus0063_AC026VACXX_TTAGGC_L007	2105424	2105800
aus0063_AC026VACXX_TTAGGC_L007	2107238	2107644
aus0063_AC026VACXX_TTAGGC_L007	2113765	2114413
aus0063_AC026VACXX_TTAGGC_L007	2239504	2240824
aus0063_AC026VACXX_TTAGGC_L007	2455609	2456123
aus0063_AC026VACXX_TTAGGC_L007	2457373	2457453
aus0063_AC026VACXX_TTAGGC_L007	2458342	2458384
aus0063_AC026VACXX_TTAGGC_L007	2463140	2463350
aus0063_AC026VACXX_TTAGGC_L007	2464991	2467757
aus0063_AC026VACXX_TTAGGC_L007	2476725	2476937
aus0063_AC026VACXX_TTAGGC_L007	2481207	2482690
aus0063_AC026VACXX_TTAGGC_L007	2484040	2486096
aus0063_AC026VACXX_TTAGGC_L007	2487077	2489510
aus0002_AC026VACXX_ATCACG_L005	910856	911111
aus0002_AC026VACXX_ATCACG_L005	1673260	1676058
aus0002_AC026VACXX_ATCACG_L005	1679735	1681052
aus0002_AC026VACXX_ATCACG_L005	1681945	1682569
aus0002_AC026VACXX_ATCACG_L005	1684695	1684869
aus0002_AC026VACXX_ATCACG_L005	1692316	1692498
aus0002_AC026VACXX_ATCACG_L005	1694453	1694924
aus0002_AC026VACXX_ATCACG_L005	1695874	1696077
aus0002_AC026VACXX_ATCACG_L005	1702527	1703145
