Sample,ST,atpA,ddl,gdh,purK,gyd,pstS,adk,mismatches,uncertainty,depth,maxMAF,Aac6-Aph2_AGly,Aac6-Ii_AGly,Aac6-Im_AGly,Ant6-Ia_AGly,Aph2''I_AGly,Aph2-Ib_AGly,Aph3-III_AGly,CatA9_Phe,CatA_Phe,Dfr_Tmt,ErmA_MLS,ErmB_MLS,ErmC_MLS,LnuB_MLS,MsrC_MLS,Sat4A_AGly,Spc_AGly,TetL_Tet,TetM_Tet,TetO_Tet,VanA_Gly,VanB_Gly,VanH-B_Gly,VanH-Pt_Gly,VanR-A_Gly,VanR-B_Gly,VanS-A_Gly,VanS-B_Gly,VanW-B_Gly,VanX-B_Gly,VanX-M_Gly,VanX_Gly,VanY-A_Gly,VanY-B_Gly,VanZ-A_Gly
AUSMDU00003357_S19_L001,17,1,1,1,1,1,1,1,0,-,90.393,0.052631579,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003358_S18_L001,17,1,1,1,1,1,1,1,0,-,98.57057143,0.049180328,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003359_S17_L001,796,4,1,1,1,1,20,1,0,-,105.1355714,0.090909091,-,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003360_S16_L001,796,4,1,1,1,1,20,1,0,-,119.5722857,0.05,Aac6-Aph2_1686*?,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003361_S15_L001,796,4,1,1,1,1,20,1,0,-,81.15657143,0.086956522,Aac6-Aph2_1686,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003362_S14_L001,80,9,1,1,1,12,1,1,0,-,77.86214286,0.08490566,Aac6-Aph2_1686*,-,-,-,-,-,-,-,-,-,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,VanA-A_1550*,-,-,VanH-A_571,VanR-A_54,-,VanS-A_635,-,-,-,VanX-A_1189*,VanX-Pt_343*,VanY-A_1634*,-,VanZ-A_1574
AUSMDU00003363_S4_L001,80,9,1,1,1,12,1,1,0,-,107.0461429,0.0625,-,-,-,-,-,-,-,-,-,-,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,VanA-A_1550*,-,-,VanH-A_571,VanR-A_54,-,VanS-A_635,-,-,-,VanX-A_1189*,VanX-Pt_343*,VanY-A_1634*,-,VanZ-A_1574
AUSMDU00003364_S3_L001,796,4,1,1,1,1,20,1,0,-,106.6167143,0.064516129,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003365_S2_L001,17,1,1,1,1,1,1,1,0,-,93.634,0.06557377,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003366_S1_L001,796,4,1,1,1,1,20,1,0,-,85.06028571,0.081632653,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003367_S1_L001,796,4,1,1,1,1,20,1,0,-,86.721,0.074074074,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003368_S2_L001,17,1,1,1,1,1,1,1,0,-,88.90742857,0.06,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003369_S4_L001,17,1,1,1,1,1,1,1,0,-,88.616,0.05952381,Aac6-Aph2_1686*?,Aac6-Ii_591*,-,-,Aph2''Ie_1638*?,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,TetL_1674*?,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003370_S3_L001,203,15,1,1,1,1,20,1,0,-,275.5957143,0.032894737,Aac6-Aph2_1686*,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,LnuB_1508*,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003371_S6_L001,17,1,1,1,1,1,1,1,0,-,86.37657143,0.075471698,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003372_S10_L001,555,4,1,1,1,1,1,1,0,-,85.93328571,0.075757576,-,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,TetL_1674,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003373_S14_L001,192,15,1,1,1,1,7,1,0,-,79.02757143,0.074074074,-,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003374_S18_L001,17,1,1,1,1,1,1,1,0,-,79.72628571,0.060606061,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003375_S22_L001,203,15,1,1,1,1,20,1,0,-,91.17357143,0.058823529,Aac6-Aph2_1686*,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,LnuB_1508*,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003376_S26_L001,17,1,1,1,1,1,1,1,0,-,86.40314286,0.06779661,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081?,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003377_S30_L001,796,4,1,1,1,1,20,1,0,-,63.812,0.076923077,-,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,TetL_1674,-,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003378_S34_L001,17,1,1,1,1,1,1,1,0,-,90.16314286,0.066666667,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003379_S7_L001,17,1,1,1,1,1,1,1,0,-,87.49185714,0.058823529,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003380_S11_L001,203,15,1,1,1,1,20,1,0,-,97.60842857,0.065217391,-,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,LnuB_1508*,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003381_S15_L001,17,1,1,1,1,1,1,1,0,-,101.7952857,0.05,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003382_S19_L001,18,7,1,1,1,5,1,1,0,-,74.93328571,0.074074074,-,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,-,-,-,MsrC_304*,-,-,TetL_1674*?,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003383_S23_L001,NF,4,1,1,1,1,-,1,0,-,97.75816667,0.064102564,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502*,-
AUSMDU00003384_S27_L001,796,4,1,1,1,1,20,1,0,-,85.55528571,0.064516129,Aac6-Aph2_1686*?,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003385_S31_L001,203,15,1,1,1,1,20,1,0,-,57.44,0.086956522,Aac6-Aph2_1686*?,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003386_S35_L001,796,4,1,1,1,1,20,1,0,-,64.46842857,0.1,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003387_S8_L001,203,15,1,1,1,1,20,1,0,-,71.19671429,0.135135135,Aac6-Aph2_1686*?,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,LnuB_1508*,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1058,VanH-B_552*,-,-,VanR-B_1472*?,-,VanS-B_1672*,VanW-B_487,VanX-B_1191,-,-,-,VanY-B_1502,-
AUSMDU00003388_S12_L001,80,9,1,1,1,12,1,1,0,-,73.43271429,0.130434783,Aac6-Aph2_1686,Aac6-Ii_591*,-,-,-,-,-,-,-,-,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,VanA-A_1550*,-,-,VanH-A_571,VanR-A_54,-,VanS-A_635,-,-,-,VanX-A_1189*,VanX-Pt_343*,VanY-A_1634*,-,VanZ-A_1574
AUSMDU00003389_S16_L001,17,1,1,1,1,1,1,1,0,-,111.9961429,0.048387097,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
aus0002_AC026VACXX_ATCACG_L005,202,1,1,1,1,1,7,1,0,-,695.4947143,0.058333333,-,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,LnuB_1508*?,MsrC_304*,Sat4A_586,-,-,-,-,-,-,VanH-B_552*?,-,-,-,-,VanS-B_1672*?,-,-,-,-,-,-,-
aus0006_AC026VACXX_CGATGT_L005,17,1,1,1,1,1,1,1,0,-,636.2931429,0.043609023,Aac6-Aph2_1686,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,Cat-pC223_1184,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,Sat4A_586,-,-,TetM_831*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0007_AC026VACXX_TTAGGC_L005,17,1,1,1,1,1,1,1,0,-,987.144,0.04969697,Aac6-Aph2_1686,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,Cat-pC194_1474*?,Cat-pC223_1184,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,Sat4A_586,-,-,TetM_831*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0009_AC026VACXX_TGACCA_L005,50,15,1,6,6,1,1,1,0,-,1163.400714,0.056972789,Aac6-Aph2_1686,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,Cat-pC194_1474*,-,-,ErmA_857,ErmB_841*,-,-,MsrC_304*,Sat4A_586,Spc_73,TetL_1674,TetM_831*,-,VanA-A_1550,-,-,VanH-A_571,VanR-A_54,-,VanS-A_635,-,-,-,VanX-A_1189,VanX-Pt_343*,VanY-A_1634,-,VanZ-A_1574
aus0010_AC026VACXX_ACAGTG_L005,32,3,3,1,2,1,1,1,0,-,760.7764286,0.06068268,-,Aac6-Ii_591*,-,-,-,-,-,-,-,-,-,ErmB_841*,-,-,MsrC_304*,Sat4A_586*?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0012_AC026VACXX_GCCAAT_L005,17,1,1,1,1,1,1,1,0,-,866.9498571,0.050104384,Aac6-Aph2_1686,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,Aph3-III_268,-,Cat-pC223_1184,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,Sat4A_586,-,TetL_1674,TetM_831*,-,-,VanB_1060,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
aus0013_AC026VACXX_CAGATC_L005,178,13,8,8,8,6,27,6,0,-,1025.184,0.052873563,-,Aac6-Ii_591*,-,-,-,-,Aph3-III_268*?,-,-,-,-,-,-,-,MsrC_304*,Sat4A_586*?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0015_AC026VACXX_ACTTGA_L005,17,1,1,1,1,1,1,1,0,-,909.1655714,0.057971014,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,-,-,-,DfrG_1081,-,-,-,-,MsrC_304*,-,-,-,TetM_831*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0016_AC026VACXX_GATCAG_L005,18,7,1,1,1,5,1,1,0,-,904.0068571,0.072847682,-,Aac6-Ii_591*,-,-,-,-,Aph3-III_268*?,-,-,DfrG_1081,-,ErmB_841*,ErmT_854*,-,MsrC_304*,Sat4A_586*?,-,TetL_1674*?,TetM_831*,-,-,VanB_1060,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487,VanX-B_1191,-,-,-,VanY-B_1502,-
aus0018_AC026VACXX_TAGCTT_L005,252,1,5,1,1,1,1,1,0,-,906.8307143,0.055276382,-,Aac6-Ii_591*,Aac6-Im_594,Ant6-Ia_1633,-,Aph2-Ib_1453*,Aph3-III_268*,-,-,-,-,ErmB_841*,-,-,MsrC_304*,Sat4A_586,-,-,-,-,-,VanB_1060*?,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0019_AC026VACXX_GGCTAC_L005,17,1,1,1,1,1,1,1,0,-,984.5428571,0.059716599,-,Aac6-Ii_591*,-,-,-,-,Aph3-III_268*?,-,-,-,-,ErmB_841*?,-,-,MsrC_304*,Sat4A_586*?,-,-,TetM_831*?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0021_AC026VACXX_CTTGTA_L005,17,1,1,1,1,1,1,1,0,-,671.6568571,0.054176072,Aac6-Aph2_1686*?,Aac6-Ii_591*,-,-,-,-,-,-,-,DfrG_1081,-,ErmB_841*,-,-,MsrC_304*,Sat4A_586*?,-,-,TetM_831*,-,-,VanB_1060,VanH-B_552*,-,-,VanR-B_1472*,-,VanS-B_1672,VanW-B_487*,VanX-B_1191,-,-,-,VanY-B_1502,-
aus0028_AC026VACXX_ATCACG_L006,178,13,8,8,8,6,27,6,0,-,587.5835714,0.057522124,-,Aac6-Ii_591*,-,Ant6-Ia_1633*?,-,-,-,-,-,-,-,-,-,-,MsrC_304*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0029_AC026VACXX_CGATGT_L006,203,15,1,1,1,1,20,1,0,-,538.678,0.064814815,Aac6-Aph2_1686*,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,LnuB_1508*,MsrC_304*,-,-,-,TetM_831*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0030_AC026VACXX_TTAGGC_L006,252,1,5,1,1,1,1,1,0,-,560.2051429,0.0486618,-,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268*,-,-,-,-,ErmB_841*,-,-,MsrC_304*,Sat4A_586,-,-,-,-,-,VanB_1058*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487*,VanX-B_1191*,-,-,-,VanY-B_1502*,-
aus0031_AC026VACXX_TGACCA_L006,252,1,5,1,1,1,1,1,0,-,657.0804286,0.043243243,-,Aac6-Ii_591*,Aac6-Im_594,-,-,Aph2-Ib_1453*,Aph3-III_268*,-,-,-,-,ErmB_841*?,-,-,MsrC_304*,-,-,-,-,-,-,VanB_1060*,VanH-B_552*,-,-,VanR-B_1472,-,VanS-B_1672*,VanW-B_487,VanX-B_1191,-,-,-,VanY-B_1502*,-
aus0038_AC026VACXX_ACAGTG_L006,252,1,5,1,1,1,1,1,0,-,731.9384286,0.047919294,-,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268*,-,-,-,-,ErmB_841*,-,-,MsrC_304*,Sat4A_586,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0039_AC026VACXX_GCCAAT_L006,204,15,1,6,1,1,1,1,0,-,582.5727143,0.055072464,Aac6-Aph2_1686,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,-,MsrC_304*,-,-,TetL_1674,TetM_831*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aus0040_AC026VACXX_CAGATC_L006,203,15,1,1,1,1,20,1,0,-,683.9255714,0.035928144,Aac6-Aph2_1686,Aac6-Ii_591*,-,Ant6-Ia_1633,-,-,Aph3-III_268,-,-,-,-,ErmB_841*,-,-,MsrC_304*,Sat4A_586*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
